iter	Passed	Remaining
0	316	157821
1	467	116385
2	764	126621
3	1060	131518
4	1360	134727
5	1541	126882
6	1862	131168
7	2307	141914
8	2709	147830
9	3156	154663
10	3677	163470
11	4008	163006
12	4312	161535
13	4611	160095
14	4935	159594
15	5226	158110
16	5529	157112
17	5630	150778
18	5926	150032
19	6226	149447
20	6527	148887
21	6834	148492
22	7127	147811
23	7425	147274
24	7731	146893
25	8031	146418
26	8330	145941
27	8630	145478
28	8930	145043
29	9228	144580
30	9546	144430
31	9831	143790
32	10130	143355
33	10430	142954
34	10726	142513
35	11025	142104
36	11319	141645
37	11618	141255
38	11922	140930
39	12217	140506
40	12369	138482
41	12670	138170
42	13000	138165
43	13300	137840
44	13601	137524
45	13899	137184
46	14203	136894
47	14504	136579
48	14802	136245
49	14904	134137
50	15204	133859
51	15508	133613
52	15806	133313
53	16100	132974
54	16399	132688
55	16500	130826
56	16799	130561
57	17100	130314
58	17398	130049
59	17679	129652
60	17999	129539
61	18269	129062
62	18597	129002
63	18898	128742
64	19198	128483
65	19500	128227
66	19799	127957
67	20099	127689
68	20406	127465
69	20705	127192
70	21005	126922
71	21299	126611
72	21597	126331
73	21897	126060
74	22197	125787
75	22468	125351
76	22768	125080
77	23097	124964
78	23397	124687
79	23700	124427
80	23998	124138
81	24298	123863
82	24598	123586
83	24902	123328
84	25200	123039
85	25499	122754
86	25800	122477
87	26099	122195
88	26396	121900
89	26701	121641
90	27002	121362
91	27299	121068
92	27599	120786
93	27904	120521
94	28201	120227
95	28499	119937
96	28800	119653
97	29101	119376
98	29396	119070
99	29714	118856
100	30034	118649
101	30316	118294
102	30613	117995
103	30908	117688
104	31205	117391
105	31498	117080
106	31797	116788
107	32095	116494
108	32395	116207
109	32696	115922
110	32995	115631
111	33266	115246
112	33562	114945
113	33894	114766
114	34166	114382
115	34477	114130
116	34765	113803
117	35090	113597
118	35368	113237
119	35664	112938
120	35966	112654
121	36273	112389
122	36565	112073
123	36868	111794
124	37194	111582
125	37493	111291
126	37797	111010
127	38103	110738
128	38398	110433
129	38696	110137
130	39001	109860
131	39296	109553
132	39614	109312
133	39911	109012
134	40202	108695
135	40500	108397
136	40797	108097
137	41097	107805
138	41396	107511
139	41696	107220
140	41997	106928
141	42297	106636
142	42597	106343
143	42901	106062
144	43196	105756
145	43494	105458
146	43774	105118
147	44062	104797
148	44410	104616
149	44700	104302
150	45002	104012
151	45310	103736
152	45609	103442
153	45913	103156
154	46205	102845
155	46502	102543
156	46802	102250
157	47098	101946
158	47404	101667
159	47712	101388
160	48001	101072
161	48297	100769
162	48597	100475
163	48892	100170
164	49189	99870
165	49491	99579
166	49791	99284
167	50064	98937
168	50359	98633
169	50657	98334
170	50956	98038
171	51256	97744
172	51553	97445
173	51850	97146
174	52151	96853
175	52461	96576
176	52751	96264
177	53057	95980
178	53365	95700
179	53648	95375
180	53956	95095
181	54267	94819
182	54569	94527
